*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=LED ARRAY V1_0
*Date=17:29:52
*CreatedBy=Fritzing 0.9.6b.2021-02-21.CD-175-0-8a1e0682
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
117;;;14.2437;-39.3702;0;Bottom;Via181
118;;;55.2438;-81.3704;0;Bottom;Via689
119;;;161.244;-148.371;0;Bottom;Via2275
120;;;98.2436;-85.3702;0;Bottom;Via888
121;;;81.2436;-145.371;0;Bottom;Via718
122;;;123.244;-42.3702;0;Bottom;Via2407
123;;;100.244;-148.37;0;Bottom;Via983
124;;;269.244;-103.371;0;Bottom;Via1495
125;;;249.244;-105.37;0;Bottom;Via1559
126;;;265.244;-103.371;0;Bottom;Via1111
127;;;182.244;-106.371;0;Bottom;Via2205
128;;;263.244;-19.3707;0;Bottom;Via1886
129;;;81.2436;-61.3705;0;Bottom;Via810
130;;;144.244;-63.3704;0;Bottom;Via2002
131;;;245.244;-84.3701;0;Bottom;Via1170
132;;;181.244;-84.3702;0;Bottom;Via2081
133;;;206.244;-39.3702;0;Bottom;Via2307
134;;;223.244;-81.3701;0;Bottom;Via1322
135;1–5Watt;luxeon;36.6796;-146.114;-90;Bottom;U10
136;;;75.2436;-166.37;0;Bottom;Via789
137;;;139.244;-148.371;0;Bottom;Via1968
138;;;57.2439;-64.3707;0;Bottom;Via638
139;;;225.244;-165.37;0;Bottom;Via1250
140;;;182.244;-43.3704;0;Bottom;Via2144
141;;;286.244;-44.3702;0;Bottom;Via1341
142;;;142.244;-124.37;0;Bottom;Via2219
143;;;207.244;-40.3704;0;Bottom;Via2724
144;;;77.2437;-101.37;0;Bottom;Via820
145;;;226.244;-21.3702;0;Bottom;Via1596
146;;;35.2436;-85.3702;0;Bottom;Via384
147;1–5Watt;luxeon;120.221;-62.4011;-90;Bottom;U59
148;;;39.2435;-20.3702;0;Bottom;Via447
149;;;17.2437;-23.3704;0;Bottom;Via206
150;;;34.2437;-84.37;0;Bottom;Via496
151;;;58.2438;-40.3705;0;Bottom;Via709
152;;;248.243;-22.3704;0;Bottom;Via1825
153;;;183.244;-107.37;0;Bottom;Via2420
154;;;122.244;-125.37;0;Bottom;Via2463
155;;;121.244;-103.371;0;Bottom;Via2690
156;220;2010 [SMD];203.244;-5.5704;-90;Bottom;R5
157;;;99.2438;-103.37;0;Bottom;Via1040
158;;;58.2438;-21.3705;0;Bottom;Via607
159;1–5Watt;luxeon;99.6843;-146.183;-90;Bottom;U44
160;;;183.244;-124.37;0;Bottom;Via2559
